No,TMNo,EnNo,Name,Column1,GMNo,Mode,IN/OUT,Antipass,DateTime
413,1,36,          ,1,1, ,0,3/15/2021 12:01,
414,1,15,          ,1,1, ,0,3/15/2021 12:01,
415,1,29,          ,1,1, ,0,3/15/2021 12:01,
416,1,24,          ,1,1, ,0,3/15/2021 12:01,
417,1,18,          ,1,1, ,0,3/15/2021 12:02,
418,1,21,          ,1,1, ,0,3/15/2021 12:02,
419,1,30,          ,1,1, ,0,3/15/2021 12:02,
420,1,17,          ,1,1, ,0,3/15/2021 12:02,
421,1,14,          ,1,1, ,0,3/15/2021 12:02,
422,1,25,          ,1,1, ,0,3/15/2021 12:02,
423,1,35,          ,1,1, ,0,3/15/2021 12:02,
424,1,5,          ,1,1, ,0,3/15/2021 12:02,
425,1,39,          ,1,1, ,0,3/15/2021 12:02,
426,1,37,          ,1,1, ,0,3/15/2021 12:02,
427,1,6,          ,1,1, ,0,3/15/2021 12:03,
428,1,59,          ,1,1, ,0,3/15/2021 12:03,
429,1,11,          ,1,1, ,0,3/15/2021 12:03,
430,1,26,          ,1,1, ,0,3/15/2021 12:04,
431,1,50,          ,1,1, ,0,3/15/2021 12:04,
432,1,12,          ,1,1, ,0,3/15/2021 12:04,
433,1,31,          ,1,1, ,0,3/15/2021 12:04,
434,1,9,          ,1,1, ,0,3/15/2021 12:06,
435,1,51,          ,1,1, ,0,3/15/2021 12:07,
436,1,16,          ,1,1, ,0,3/15/2021 12:07,
437,1,3,          ,1,1, ,0,3/15/2021 12:07,
438,1,19,          ,1,1, ,0,3/15/2021 12:10,
439,1,4,          ,1,1, ,0,3/15/2021 12:10,
440,1,13,          ,1,1, ,0,3/15/2021 12:10,
441,1,8,          ,1,1, ,0,3/15/2021 12:10,
442,1,7,          ,1,1, ,0,3/15/2021 12:10,
443,1,45,          ,1,1, ,0,3/15/2021 12:11,
444,1,34,          ,1,1, ,0,3/15/2021 12:11,
445,1,38,          ,1,1, ,0,3/15/2021 12:12,
446,1,5,          ,1,1, ,0,3/15/2021 12:12,
447,1,37,          ,1,1, ,0,3/15/2021 12:12,
448,1,18,          ,1,1, ,0,3/15/2021 12:12,
449,1,11,          ,1,1, ,0,3/15/2021 12:13,
450,1,36,          ,1,1, ,0,3/15/2021 12:13,
451,1,59,          ,1,1, ,0,3/15/2021 12:15,
452,1,21,          ,1,1, ,0,3/15/2021 12:15,
453,1,29,          ,1,1, ,0,3/15/2021 12:15,
454,1,12,          ,1,1, ,0,3/15/2021 12:15,
455,1,55,          ,1,1, ,0,3/15/2021 12:16,
456,1,50,          ,1,1, ,0,3/15/2021 12:16,
